gisjoin,name_dp,var_code,dp,name_sf,sf
G56001985,Alta CDP,H7X002,364,Alta CDP,385
G56002877,Antelope Hills CDP,H7X002,85,Antelope Hills CDP,89
G56002900,Antelope Valley-Crestview CDP,H7X002,1554,Antelope Valley-Crestview CDP,1537
G56003000,Arapahoe CDP,H7X002,314,Arapahoe CDP,279
G56003245,Arlington CDP,H7X002,12,Arlington CDP,25
G56003652,Arrowhead Springs CDP,H7X002,42,Arrowhead Springs CDP,63
G56003725,Arvada CDP,H7X002,75,Arvada CDP,42
G56004015,Atlantic City CDP,H7X002,69,Atlantic City CDP,36
G56004160,Auburn CDP,H7X002,398,Auburn CDP,313
G56004740,Baggs town,H7X002,390,Baggs town,414
G56004885,Bairoil town,H7X002,95,Bairoil town,89
G56005245,Bar Nunn town,H7X002,1994,Bar Nunn town,2066
G56005320,Basin town,H7X002,1065,Basin town,1211
G56005625,Bear River town,H7X002,498,Bear River town,496
G56006045,Bedford CDP,H7X002,125,Bedford CDP,190
G56006407,Bessemer Bend CDP,H7X002,146,Bessemer Bend CDP,188
G56006480,Beulah CDP,H7X002,46,Beulah CDP,70
G56006770,Big Horn CDP,H7X002,473,Big Horn CDP,475
G56007060,Big Piney town,H7X002,414,Big Piney town,512
G56008365,Bondurant CDP,H7X002,30,Bondurant CDP,93
G56009235,Boulder CDP,H7X002,131,Boulder CDP,157
G56009307,Boulder Flats CDP,H7X002,95,Boulder Flats CDP,87
G56010175,Brookhurst CDP,H7X002,182,Brookhurst CDP,181
G56010685,Buffalo city,H7X002,4247,Buffalo city,4378
G56011120,Burlington town,H7X002,210,Burlington town,263
G56011265,Burns town,H7X002,227,Burns town,285
G56011700,Byron town,H7X002,546,Byron town,576
G56012860,Carpenter CDP,H7X002,138,Carpenter CDP,94
G56013005,Carter CDP,H7X002,32,Carter CDP,10
G56013150,Casper city,H7X002,50780,Casper city,51048
G56013222,Casper Mountain CDP,H7X002,401,Casper Mountain CDP,388
G56013440,Centennial CDP,H7X002,217,Centennial CDP,265
G56013900,Cheyenne city,H7X002,51510,Cheyenne city,51999
G56014097,Chugcreek CDP,H7X002,210,Chugcreek CDP,148
G56014165,Chugwater town,H7X002,119,Chugwater town,206
G56015325,Clearmont town,H7X002,83,Clearmont town,135
G56015400,Clearview Acres CDP,H7X002,744,Clearview Acres CDP,662
G56015760,Cody city,H7X002,9029,Cody city,9126
G56015905,Cokeville town,H7X002,409,Cokeville town,528
G56017210,Cora CDP,H7X002,78,Cora CDP,141
G56017645,Cowley town,H7X002,507,Cowley town,625
